Date,Start Time (Before),Stress Score (Before),Stress Category,Activity Performed,End Time (After),Stress Score (After),Stress Improvement
17-Jan-26,6:30 AM,40,Mild,Meditate,7:00 AM,30,10
17-Jan-26,11:00 AM,45,Mild,Listening to Music,11:30 AM,37,8
17-Jan-26,12:00 PM,38,Mild,Listening to Music,12:30 PM,32,6
17-Jan-26,4:30 PM,36,Mild,Walking,5:00 PM,27,9
17-Jan-26,8:00 PM,27,Mild,Gaming,9:00 PM,36,-9
18-Jan-26,6:30 AM,22,Relaxed ,Meditate,7:00 AM,18,4
18-Jan-26,8:00 AM,18,Relaxed ,Listening to Music,8:30 AM,7,11
18-Jan-26,9:00 AM,17,Relaxed ,Watching,9:30 AM,20,-3
18-Jan-26,10:00 PM,37,Mild,Listening to Music,10:30 PM,29,8
18-Jan-26,11:00 PM,30,Mild,Listening to Music,12:00 PM,24,6
19-Jan-26,6:00 AM,8,Relaxed ,Walking,6:30 AM,19,-11
19-Jan-26,6:35 AM,17,Relaxed ,Reading,7:15 AM,8,9
19-Jan-26,9:00 AM,21,Relaxed ,Listening to Music,10:00 AM,10,11
19-Jan-26,1:30 PM,35,Mild,Walking,2:00 PM,40,-5
19-Jan-26,2:10 PM,39,Mild,Listening to Music,2:45 PM,33,6
19-Jan-26,6:00 PM,39,Mild,Listening to Music,7:00 PM,30,9
20-Jan-26,6:30 AM,11,Relaxed ,Reading,7:15 AM,18,-7
20-Jan-26,7:30 AM,22,Relaxed ,Reading,8:00 AM,10,12
20-Jan-26,8:15 AM,16,Relaxed ,Reading,8:30 AM,19,-3
20-Jan-26,6:00 PM,26,Mild,Coding,7:25 PM,39,-13
20-Jan-26,7:30 PM,35,Mild,Watching,8:00 PM,32,3
20-Jan-26,10:30 PM,37,Mild,Walking,11:00 PM,32,5
21-Jan-26,6:00 AM,12,Relaxed ,Meditate,6:30 AM,8,4
21-Jan-26,6:45 AM,11,Relaxed ,Reading,7:25 AM,18,-7
21-Jan-26,8:25 AM,13,Relaxed ,Reading ,9:00 AM,8,5
21-Jan-26,11:00 AM,14,Relaxed ,Reading,11:30 AM,17,-3
21-Jan-26,1:30 PM,20,Relaxed ,Listening to Music,2:20 PM,7,13
22-Jan-26,9:00 AM,10,Relaxed ,Reading,9:30 AM,17,-7
22-Jan-26,9:40 AM,20,Relaxed ,Reading,10:00 AM,16,4
22-Jan-26,1:00 PM,36,Mild ,Walking,1:30 PM,32,4
22-Jan-26,2:00 PM,31,Mild,Cleaning,2:30 PM,36,-5
22-Jan-26,5:00 PM,33,Mild,Gaming,6:30 PM,36,-3
22-Jan-26,8:00 PM,36,Mild,Listening to Music,8:30 PM,28,8
23-Jan-26,6:00 AM,11,Relaxed ,Watching,6:30 AM,19,-8
23-Jan-26,6:40 AM,21,Relaxed ,Watching,7:00 AM,7,14
23-Jan-26,7:30 AM,16,Relaxed ,Reading,8:00 AM,22,-6
23-Jan-26,9:00 AM,8,Relaxed ,Meditate,9:30 AM,3,5
23-Jan-26,10:30 AM,17,Relaxed ,Reading,11:15 AM,19,-2
23-Jan-26,3:00 PM,40,Mild,Listening to Music,4:00 PM,35,5
23-Jan-26,6:30 PM,43,Mild,Listening to Music,7:00 PM,37,6
23-Jan-26,8:05 PM,36,Mild ,Gaming,8:50 PM,42,-6
23-Jan-26,9:07 PM,41,Mild,Listeninig to Music,10:00 AM,32,9
24-Jan-26,6:00 AM,8,Relaxed ,Walking,6:30 AM,18,-10
24-Jan-26,6:32 AM,18,Relaxed ,Walking,7:05 AM,8,10
24-Jan-26,8:30 AM,19,Relaxed ,Reading,8:30 AM,13,6
24-Jan-26,10:30 AM,38,Mild,Listening to Music,11:00 AM,30,8
24-Jan-26,11:05 AM,31,Mild,Listening to Music,11:30 AM,24,7
24-Jan-26,8:30 PM,40,Mild,Listening to Music,9:10 PM,30,10
24-Jan-26,10:30 AM,38,Mild,Listening to Music,11:20 PM,29,9
